name,previous_price [PLN],new_price [PLN],product_quantity,product_weight
"Kawa ziarnista JACOBS CREMA, 1 kg",75.99,72.19,1,1.0
"Kawa ziarnista JACOBS BARISTA ESPRESSO, 1 kg",75.99,72.19,1,1.0
"Kawa ziarnista JACOBS BARISTA CREMA ITALIANO, 1 kg",75.99,72.19,1,1.0
"Senseo kawa w saszetkach Jacobs-Douwe Egberts LT Cafe Latte, 8 szt.",23.99,14.39,1,8.0
"Kawa w saszetkach Jacobs Douwe Egberts SENSEO® STRONG, 36 szt.",43.99,26.39,1,36.0
"Kawa w saszetkach Jacobs Douwe Egberts SENSEO® CLASSIC, 36 szt.",43.99,26.39,1,36.0
"Kawa w saszetkach Jacobs Douwe Egberts SENSEO® GOLD, 36 szt.",43.99,26.39,1,36.0
"Rokit Immunity Boost kawa w kapsułkach do Nespresso®, 10 szt.",27.79,22.23,1,10.0
"Rokit Total Glow kawa w kapsułkach do Nespresso®, 10 szt.",27.79,22.23,1,10.0
"Kapsułki do ekspresu Tchibo Cafissimo / Caffitaly Tchibo Cafissimo Caffè Crema Fine Aroma, 10 szt.",14.24,13.53,1,10.0
"Kapsułki do ekspresu Tchibo Cafissimo / Caffitaly Tchibo Cafissimo Caffè Crema Rich Aroma, 10 szt.",14.24,13.53,1,10.0
"Kapsułki do ekspresu Tchibo Cafissimo / Caffitaly Tchibo Cafissimo Caffè Crema Rich Aroma, 96 szt.",113.99,108.29,1,96.0
"Kawa ziarnista Illy Intenso, 250 g",47.99,45.59,1,0.25
"Kawa ziarnista Specialty Goat Story Brazil Coletivo Caparaó, 250 g",54.99,41.24,1,0.25
"Kawa ziarnista Specialty Goat Story Good Vibrations Seasonal Blend, 250 g",54.99,38.49,1,0.25
"Kawa ziarnista Specialty Goat Story Walking on Sunshine Seasonal Blend, 250 g",63.99,47.99,1,0.25
"Kawa ziarnista Caffe Barzini Dark Roast, 1 kg",149.99,104.99,1,1.0
"Kawa w kapsułkach do Nespresso® Caffe Barzini Lungo, 22 szt.",35.99,25.19,1,22.0
"Kawa bezkofeinowa w kapsułkach do Nespresso® Caffe Barzini Decaf, 22 szt.",35.99,25.19,1,22.0
"Kawa w kapsułkach do Nespresso® Caffe Barzini Espresso, 22 szt.",35.99,25.19,1,22.0
"Kawa w kapsułkach do Nespresso® Caffe Barzini Ristretto, 22 szt.",35.99,25.19,1,22.0
"Kapsułki do napoju czekoladowego Tassimo Milka (kompatybilne z ekspresami kapsułkowymi Bosch Tassimo), 8 szt.",25.99,24.69,1,8.0
"Kapsułki do kawy Tassimo Latte Macchiato Baileys (kompatybilne z ekspresami kapsułkowymi Bosch Tassimo), 8+8 szt.",25.99,24.69,1,8.0
"Kapsułki do kawy Tassimo Cappuccino Classico (kompatybilne z ekspresami kapsułkowymi Bosch Tassimo), 8+8 szt.",25.99,24.69,1,8.0
"Kapsułki do kawy Tassimo Morning Cafe (kompatybilne z ekspresami kapsułkowymi Bosch Tassimo), 16 szt.",25.99,24.69,1,16.0
"Kapsułki do kawy Tassimo Café Au Lait (kompatybilne z ekspresami kapsułkowymi Bosch Tassimo), 16 szt.",25.99,24.69,1,16.0
"Kapsułki do kawy Tassimo Caffe Crema Classico (kompatybilne z ekspresami kapsułkowymi Bosch Tassimo), 16 szt.",25.99,24.69,1,16.0
"Kapsułki do kawy Tassimo Latte Macchiato Classico (kompatybilne z ekspresami kapsułkowymi Bosch Tassimo), 8+8 szt.",25.99,24.69,1,8.0
"Kapsułki do kawy Tassimo Latte Macchiato Caramel (kompatybilne z ekspresami kapsułkowymi Bosch Tassimo), 8+8 szt.",25.99,24.69,1,8.0
"Kapsułki do kawy Tassimo Morning Cafe XL (kompatybilne z ekspresami kapsułkowymi Bosch Tassimo), 21 szt.",25.99,24.69,1,21.0
"Kapsułki do kawy Tassimo L’OR Espresso Delizioso (kompatybilne z ekspresami kapsułkowymi Bosch Tassimo), 16 szt.",25.99,24.69,1,16.0
"Kapsułki do kawy Tassimo Caffè Crema Classico XL (kompatybilne z ekspresami kapsułkowymi Bosch Tassimo), 16 szt.",25.99,24.69,1,16.0
"Rokit Energy Uplift kawa w kapsułkach do Nespresso®, 10 szt.",27.79,22.23,1,10.0
