name,price_old,price_new
"Kawa z korzenia łopianu Dvaro Kavos, 100 g",N/A,N/A
"Kawa z korzenia mniszka lekarskiego Dvaro Kavos, 100 g",N/A,N/A
"Kawa z żołędzi Dvaro Kavos, 100 g",N/A,N/A
"Kawa z marchewki Dvaro Kavos, 100 g",N/A,N/A
"Kawa z jęczmienia Dvaro Kavos, 100 g",N/A,N/A
"Kawa z korzeni cykorii Dvaro Kavos, 100 g",N/A,N/A
"Kapsułki kawy L’OR PAPUA NEW GUINEA, 10 szt.","19,99","18,99"
"Kapsułki do kawy L’OR COLOMBIA, 10 szt.","19,99","18,99"
"Kapsułki do kawy L’OR FORZA, 10 szt.","17,99","17,09"
"Kapsułki do kawy L’OR ARABICA RWENZORI, 10 szt.","19,99","18,99"
"Kapsułki do kawy L’OR RISTRETTO, 10 szt.","17,99","17,09"
"Kapsułki do kawy L’OR PROFONDO, 10 szt.","17,99","17,09"
"Kapsułki do kawy L’OR MATTINATA, 10 szt.","17,99","17,09"
"Kawa ziarnista Lavazza Gran Espresso, 1 kg","99,99","94,99"
"Kawa ziarnista Lavazza Super Crema, 1 kg","119,99","113,99"
"Kawa ziarnista Lavazza Qualita Oro, 1 kg","109,99","104,49"
"Kawa ziarnista Tchibo Espresso Milano Style, 1 kg","56,99","54,14"
"Kawa ziarnista Tchibo Barista Caffè Crema, 1 kg","71,24","67,68"
"Kapsułki do ekspresu Tchibo Cafissimo / Caffitaly Tchibo Cafissimo Espresso Caramel, 10 szt.","15,19","14,43"
"Kapsułki do ekspresu Tchibo Cafissimo / Caffitaly Tchibo Cafissimo Espresso Brasil, 96 szt.","113,99","108,29"
"Kapsułki do ekspresu Tchibo Cafissimo / Caffitaly Tchibo Cafissimo Espresso Brasil, 10 szt.","22,79","21,65"
"Kapsułki do ekspresu Tchibo Cafissimo / Caffitaly Tchibo Cafissimo Espresso Intense, 10 szt.","18,99","18,04"
"Kapsułki do ekspresu Tchibo Cafissimo / Caffitaly Tchibo Cafissimo Espresso Intense, 96 szt.","109,24","103,78"
"Kawa mielona Bialetti Perfetto Moka Chocolate, 250 g","39,99","31,99"
"Kawa mielona Bialetti Perfetto Moka Intenso, 250 g","34,99","27,99"
"Kawa mielona Bialetti Perfetto Moka Delicato, 250 g","34,99","27,99"
"Kawa mielona Bialetti Perfetto Moka Hazelnut, 250 g","39,99","31,99"
"Kawa mielona Bialetti Perfetto Moka Vanilla, 250 g","39,99","31,99"
"Kawa ziarnista JACOBS CREMA, 1 kg","75,99","72,19"
"Kawa ziarnista JACOBS BARISTA ESPRESSO, 1 kg","75,99","72,19"
"Kawa ziarnista JACOBS BARISTA CREMA ITALIANO, 1 kg","75,99","72,19"
"Senseo kawa w saszetkach Jacobs-Douwe Egberts LT Cafe Latte, 8 szt.","23,99","14,39"
"Kawa w saszetkach Jacobs Douwe Egberts SENSEO® STRONG, 36 szt.","43,99","26,39"
"Kawa w saszetkach Jacobs Douwe Egberts SENSEO® CLASSIC, 36 szt.","43,99","26,39"
"Kawa w saszetkach Jacobs Douwe Egberts SENSEO® GOLD, 36 szt.","43,99","26,39"
"Rokit Immunity Boost kawa w kapsułkach do Nespresso®, 10 szt.","27,79","22,23"
"Rokit Total Glow kawa w kapsułkach do Nespresso®, 10 szt.","27,79","22,23"
Zestaw kawy ziarnistej Specialty Nicaragua Maragogype + Papua New Guinea Sigri + Guatemala La Hermosa,N/A,N/A
"Kawa w kapsułkach do Dolce Gusto® NESCAFÉ Dolce Gusto Grande Intenso Morning Blend, 3 x 16 szt.",N/A,N/A
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Lungo, 3 x 16 szt.",N/A,N/A
"Kawa ziarnista Charles Liegeois Espresso, 500 g",N/A,N/A
"Kawa ziarnista specialty Fucking Strong Coffee Kenya, 250 g",N/A,N/A
"Zestaw upominkowy z kawą smakową Little’s Café Collection, 3 × 50 g",N/A,N/A
"Kawa ziarnista specialty Black Crow White Pigeon Colombia La Esperanza (Filter), 200 g",N/A,N/A
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Almond Caffe Late, 12 szt.",N/A,N/A
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Café Au lait, 18 szt.",N/A,N/A
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Latte Macchiato, 9+9 szt.",N/A,N/A
