name,price_old,price_netto,price_new
Kawa ziarnista Instytut Kawy Tanzania Kent 250g,"59,00 zł","35,98 zł +23% VAT","44,25 zł"
Kawa ziarnista Instytut Kawy Dominikana Barahona AA 1kg,"129,00 zł","78,66 zł +23% VAT","96,75 zł"
Kawa ziarnista Instytut Kawy Dominikana Barahona AA 250g,"38,00 zł","23,17 zł +23% VAT","28,50 zł"
Kawa ziarnista Costa Coffee Caffe Crema VELVET 1kg,"74,99 zł","47,15 zł +23% VAT","57,99 zł"
Kawa ziarnista Świąteczna Kawariatka 1kg,N/A,"109,75 zł +23% VAT","134,99 zł"
ZESTAW - Kawa ziarnista Trip Coffee Brazylia 1kg + Trip Coffee Peru 1kg,N/A,"115,43 zł +23% VAT","141,98 zł"
Kawa ziarnista Momento Konesso Blend 1kg,N/A,"113,81 zł +23% VAT","139,99 zł"
Kawa ziarnista MRC & Konesso Kolumbia Excelso 250g,"34,99 zł","21,33 zł +23% VAT","26,24 zł"
Kawa ziarnista HAYB Konesso Filter Blend 1kg,"139,99 zł","81,94 zł +23% VAT","100,79 zł"
Kawa ziarnista HAYB Konesso Espresso Blend 250g,"37,99 zł","22,24 zł +23% VAT","27,35 zł"
Kawa ziarnista COFFEE PLANT Sweet Brazil Shot 250g,N/A,"32,51 zł +23% VAT","39,99 zł"
ZESTAW - Kawa Bazzara Dodicigrancru 2x1kg + opakowanie 250g,N/A,"227,63 zł +23% VAT","279,98 zł"
"ZESTAW - Kawa ziarnista Costa Coffee Caffe Crema VELVET 1kg + Syrop ORANGE SPRITZ MONIN 0,25 l",N/A,"63,41 zł +23% VAT","77,99 zł"
Kawa ziarnista HAYB Konesso Milk Blend 1kg,"134,99 zł","79,02 zł +23% VAT","97,19 zł"
Kawa ziarnista HAYB Konesso Milk Blend 250g,"36,99 zł","21,65 zł +23% VAT","26,63 zł"
Kawa ziarnista Momento Konesso Blend 250g,N/A,"31,70 zł +23% VAT","38,99 zł"
Kawa ziarnista Belmio Ristretto Blend 1kg,N/A,"65,03 zł +23% VAT","79,99 zł"
Kawa ziarnista The White Bear Kolumbia Medellin 250g,"46,00 zł","29,92 zł +23% VAT","36,80 zł"
Kawa ziarnista The White Bear Kolumbia Excelso 1kg,"122,00 zł","79,35 zł +23% VAT","97,60 zł"
Kawa ziarnista Świąteczna Kawariatka 250g,N/A,"30,89 zł +23% VAT","37,99 zł"
Kawa ziarnista HAYB Konesso Gwatemala Santa Rosa Barrel Aged Espresso 1kg,"159,99 zł","94,95 zł +23% VAT","116,79 zł"
Kawa ziarnista L'OR Crema Absolu Profond 500g,"59,99 zł","43,89 zł +23% VAT","53,99 zł"
Kawa ziarnista Bazzara DODICIGRANCRU 250g,"47,99 zł","32,38 zł +23% VAT","39,83 zł"
ZESTAW - Kawa ziarnista Kimbo Aroma Gold 3x1kg,N/A,"164,17 zł +23% VAT","201,93 zł"
Kawa ziarnista Kimbo Aroma Gold 1kg,"79,00 zł","55,28 zł +23% VAT","67,99 zł"
Kawa ziarnista Etno Cafe Colombia Medellin 1kg,"115,00 zł","74,80 zł +23% VAT","92,00 zł"
4x Kawa ziarnista Bazzara DODICIGRANCRU 250g + filiżanka do espresso,"197,55 zł","133,94 zł +23% VAT","164,75 zł"
Kawa mielona Bazzara DOLCEVIVACE Moka 250g,"29,99 zł","20,24 zł +23% VAT","24,89 zł"
Kawa ziarnista LaCava Colombia Diego Bermudez Filter 200g,"99,00 zł","56,34 zł +23% VAT","69,30 zł"
Kawa ziarnista BeMyBean Gwatemala La Bolsa 250g,"55,00 zł","32,64 zł +23% VAT","40,15 zł"
Kawa ziarnista LaCava El Salvador El Cocal Espresso 1kg,"219,00 zł","124,63 zł +23% VAT","153,30 zł"
Kawa ziarnista LaCava Colombia El Rubi Espresso 1kg,"219,00 zł","124,63 zł +23% VAT","153,30 zł"
Kawa ziarnista LaCava Daily Bru 1kg,"139,00 zł","79,11 zł +23% VAT","97,30 zł"
Kawa ziarnista LaCava Daily Bru 350g,"55,00 zł","31,30 zł +23% VAT","38,50 zł"
Kawa ziarnista LaCava Limy Bru 350g,"59,00 zł","33,58 zł +23% VAT","41,30 zł"
Kawa ziarnista LaCava Limy Bru 1kg,"159,00 zł","90,49 zł +23% VAT","111,30 zł"
Kawa ziarnista LaCava Kenya Kabare Filtr 1kg,"229,00 zł","130,33 zł +23% VAT","160,30 zł"
Kawa ziarnista LaCava Ethiopia Sede Filtr 1kg,"219,00 zł","124,63 zł +23% VAT","153,30 zł"
Kawa ziarnista LaCava Honduras Finca Don Andres Filtr 1kg,"229,00 zł","130,33 zł +23% VAT","160,30 zł"
Kawa ziarnista LaCava Bolivia Arcangel Filtr 1kg,"259,00 zł","147,40 zł +23% VAT","181,30 zł"
Kawa ziarnista Pellini Aroma Oro 1kg,N/A,"91,86 zł +23% VAT","112,99 zł"
Kawa mielona illy Decaf - bezkofeinowa 250g,"34,99 zł","24,38 zł +23% VAT","29,99 zł"
6x Kawa mielona illy Espresso Decaffeinato - bezkofeinowa 250g,N/A,"143,85 zł +23% VAT","176,94 zł"
Kawa ziarnista illy Decaf - bezkofeinowa 250g,"34,99 zł","24,38 zł +23% VAT","29,99 zł"
Kawa ziarnista Diemme Aromatica 200g,"32,99 zł","22,80 zł +23% VAT","28,04 zł"
6x Kawa ziarnista illy Espresso Decaffeinato - bezkofeinowa 250g,N/A,"143,85 zł +23% VAT","176,94 zł"
Kawa ziarnista Lucaffe Exquisit 1kg,"129,99 zł","89,83 zł +23% VAT","110,49 zł"
6x Kawa mielona illy Moka 250g,N/A,"143,85 zł +23% VAT","176,94 zł"
ZESTAW - Kawa mielona Lavazza Qualita Rossa 4x250g,"77,56 zł","53,59 zł +23% VAT","65,92 zł"
Zestaw 3x1kg Kawa ziarnista Tchibo Barista Espresso,N/A,"144,85 zł +23% VAT","178,17 zł"
Kapsułki Nescafé Dolce Gusto Latte Macchiato 3x16 sztuk,"79,98 zł","52,41 zł +23% VAT","64,47 zł"
Kapsułki Nescafé Dolce Gusto Cappuccino 3x16 sztuk,"79,98 zł","52,41 zł +23% VAT","64,47 zł"
Kapsułki Nescafé Dolce Gusto Café au Lait 3x30 sztuk,"144,99 zł","102,41 zł +23% VAT","125,97 zł"
Kapsułki Nescafé Dolce Gusto Flat White 3x16 sztuk,"79,98 zł","52,41 zł +23% VAT","64,47 zł"
Kapsułki Nescafé Dolce Gusto Cortado Espresso Macchiato 3x30 sztuk,"144,99 zł","102,41 zł +23% VAT","125,97 zł"
Kapsułki Nescafé Dolce Gusto Espresso 3x16 sztuk,"79,98 zł","52,41 zł +23% VAT","64,47 zł"
Kapsułki Nescafé Dolce Gusto Ristretto Barista 3x16 sztuk,"79,98 zł","52,41 zł +23% VAT","64,47 zł"
Kawa ziarnista Momento KAPKAP Nikaragua Finca Los Altiplanos 1kg,"149,00 zł","84,80 zł +23% VAT","104,30 zł"
Kawa ziarnista Momento KAPKAP Nikaragua Finca Los Altiplanos 250g,"45,00 zł","25,61 zł +23% VAT","31,50 zł"
Kawa ziarnista Momento Gwatemala Nº6 Finca Buena Vista 250g,"64,00 zł","36,42 zł +23% VAT","44,80 zł"
Kawa ziarnista Momento Gwatemala Nº4 Finca La Mora 250g,"55,00 zł","31,30 zł +23% VAT","38,50 zł"
Kawa ziarnista Trip Coffee Kolumbia DARK 250g,"27,99 zł","18,20 zł +23% VAT","22,39 zł"
Kawa ziarnista Trip Coffee Brazylia DARK 250g,"24,99 zł","16,25 zł +23% VAT","19,99 zł"
